UW Year,Loss Date,Reported Date,Last Trans Date,Paid Loss,Outstanding Reserve,Incurred Loss,Status
2019,17/03/2020,16/04/2020,8/7/2020,495.74,0,495.74,Closed
2019,17/03/2020,16/04/2020,7/7/2020,1765.53,0,1765.53,Closed
2019,17/03/2020,17/04/2020,3/6/2020,1097.34,0,1097.34,Closed
2019,12/2/2020,17/04/2020,30/04/2020,136.11,0,136.11,Closed
2019,21/03/2020,16/04/2020,10/6/2020,1432.5,0,1432.5,Closed
2019,16/03/2020,16/04/2020,30/06/2020,2833.6,0,2833.6,Closed
2019,17/03/2020,16/04/2020,1/12/2020,1163.5,0,1163.5,Closed
2019,16/03/2020,16/04/2020,27/04/2020,221.22,0,221.22,Closed
2019,19/03/2020,16/04/2020,7/5/2020,1082.02,0,1082.02,Closed
2019,17/03/2020,17/04/2020,1/5/2020,1353.1,0,1353.1,Closed
2019,14/03/2020,16/04/2020,11/5/2020,2459.83,0,2459.83,Closed
2019,13/03/2020,16/04/2020,30/04/2020,120.47,0,120.47,Closed
2019,17/03/2020,26/03/2020,23/04/2020,2415.73,0,2415.73,Closed
2019,20/03/2020,23/04/2020,6/5/2020,190.7,0,190.7,Closed
2019,28/01/2020,24/04/2020,18/05/2020,2077.24,0,2077.24,Closed
2019,19/03/2020,30/04/2020,22/05/2020,436.12,0,436.12,Closed
2019,28/04/2020,28/04/2020,6/1/2021,2923.51,0,2923.51,Closed
2019,17/03/2020,30/04/2020,8/5/2020,728.95,0,728.95,Closed
2019,17/03/2020,30/04/2020,8/5/2020,846.33,0,846.33,Closed
2019,17/03/2020,4/5/2020,8/5/2020,1024.71,0,1024.71,Closed
2019,17/03/2020,30/04/2020,18/05/2020,546.99,0,546.99,Closed
2019,10/3/2020,8/5/2020,15/07/2020,521,0,521,Closed
2019,13/03/2020,12/5/2020,,0,0,0,Closed
2019,6/3/2020,6/5/2020,15/07/2020,200,0,200,Closed
2019,19/02/2020,13/05/2020,5/8/2020,2711.49,0,2711.49,Closed
2019,18/03/2020,11/5/2020,19/01/2021,655.31,0,655.31,Closed
2019,11/3/2020,11/5/2020,10/6/2020,433.8,0,433.8,Closed
2019,11/3/2020,11/5/2020,10/6/2020,148,0,148,Closed
2019,19/03/2020,11/5/2020,17/09/2020,2345.2,0,2345.2,Closed
2019,24/03/2020,11/5/2020,11/6/2020,743.11,0,743.11,Closed
2019,18/03/2020,15/05/2020,,0,0,0,Closed
2019,27/03/2020,15/05/2020,,0,0,0,Closed
2019,20/03/2020,15/05/2020,,0,0,0,Closed
2019,16/03/2020,15/05/2020,25/05/2020,861,0,861,Closed
2019,19/03/2020,11/5/2020,15/06/2020,3236.15,0,3236.15,Closed
2019,17/03/2020,18/05/2020,15/07/2020,1721.4,0,1721.4,Closed
2019,15/05/2020,18/05/2020,27/05/2020,1108.69,0,1108.69,Closed
2019,15/05/2020,18/05/2020,6/7/2020,65.19,0,65.19,Closed
2019,20/03/2020,18/05/2020,10/7/2020,466.56,0,466.56,Closed
2019,17/03/2020,15/05/2020,4/6/2020,1025.04,0,1025.04,Closed
2019,18/05/2020,18/05/2020,4/6/2020,2007.95,0,2007.95,Closed
2019,24/03/2020,18/05/2020,,0,0,0,Closed
2019,21/03/2020,18/05/2020,15/07/2020,962.97,0,962.97,Closed
2019,18/03/2020,18/05/2020,28/05/2020,1110.28,0,1110.28,Closed
2019,18/03/2020,18/05/2020,25/02/2021,2805.83,0,2805.83,Closed
2019,18/03/2020,18/05/2020,21/05/2020,453.65,0,453.65,Closed
2019,13/03/2020,18/05/2020,15/06/2020,135.19,0,135.19,Closed
2019,15/03/2020,19/05/2020,24/06/2020,5195.5,0,5195.5,Closed
2019,19/05/2020,19/05/2020,6/1/2021,3715.99,0,3715.99,Closed
2019,12/3/2020,19/05/2020,16/12/2020,3438.89,0,3438.89,Closed
2019,12/3/2020,19/05/2020,,0,0,0,Closed
2019,15/03/2020,19/05/2020,17/06/2020,1490.94,0,1490.94,Closed
2019,21/03/2020,19/05/2020,16/06/2020,2705.07,0,2705.07,Closed
2019,7/4/2020,21/05/2020,,0,0,0,Closed
2019,6/2/2020,19/05/2020,9/6/2020,74.57,0,74.57,Closed
2019,18/03/2020,21/05/2020,,0,0,0,Closed
2019,28/03/2020,21/05/2020,,0,0,0,Closed
2019,16/03/2020,21/05/2020,15/07/2020,1606.18,0,1606.18,Closed
2019,28/11/2019,21/05/2020,,0,0,0,Closed
2019,17/03/2020,22/05/2020,28/05/2020,431.87,0,431.87,Closed
2019,25/05/2019,21/05/2020,1/6/2020,255.74,0,255.74,Closed
2019,13/03/2020,21/05/2020,,0,0,0,Closed
2019,16/03/2020,21/05/2020,15/07/2020,1606.18,0,1606.18,Closed
2019,18/03/2020,21/05/2020,,0,0,0,Closed
2019,18/02/2020,21/05/2020,,0,0,0,Closed
2019,7/12/2018,21/05/2020,1/6/2020,361.66,0,361.66,Closed
2019,18/03/2020,25/05/2020,29/01/2021,945.57,0,945.57,Closed
2019,28/03/2020,25/05/2020,22/09/2020,2305.98,0,2305.98,Closed
2019,18/03/2020,27/05/2020,,0,0,0,Closed
2019,10/3/2020,25/05/2020,1/7/2020,1233.35,0,1233.35,Closed
2019,17/03/2020,25/05/2020,13/11/2020,956.9,0,956.9,Closed
2019,16/01/2020,27/05/2020,5/6/2020,195.87,0,195.87,Closed
2019,17/03/2020,28/05/2020,4/6/2020,1719.58,0,1719.58,Closed
2019,16/01/2020,28/05/2020,,0,0,0,Closed
2019,13/03/2020,28/05/2020,,0,0,0,Closed
2019,16/03/2020,29/05/2020,3/11/2020,292.54,0,292.54,Closed
2019,7/5/2020,4/6/2020,12/8/2020,6093.78,0,6093.78,Closed
2019,24/03/2020,5/6/2020,12/8/2020,1996.34,0,1996.34,Closed
2019,18/03/2020,9/6/2020,30/07/2020,612.95,0,612.95,Closed
2019,18/03/2020,10/6/2020,,0,0,0,Closed
2019,11/3/2020,12/6/2020,,0,0,0,Closed
2019,17/03/2020,16/06/2020,30/06/2020,2646.29,0,2646.29,Closed
2019,20/03/2020,23/06/2020,26/06/2020,97.36,0,97.36,Closed
2019,16/02/2020,23/06/2020,30/06/2020,620.3,0,620.3,Closed
2019,1/2/2020,23/06/2020,16/07/2020,487.22,0,487.22,Closed
2019,16/03/2020,23/06/2020,29/01/2021,596.5,0,596.5,Closed
2019,11/2/2020,23/06/2020,30/06/2020,776.95,0,776.95,Closed
2019,12/3/2020,23/06/2020,8/7/2020,1780.46,0,1780.46,Closed
2019,30/05/2020,3/7/2020,,0,0,0,Closed
2019,17/03/2020,6/7/2020,7/8/2020,921.37,0,921.37,Closed
2019,17/03/2020,6/7/2020,20/11/2020,742.03,0,742.03,Closed
2019,18/03/2020,7/7/2020,15/07/2020,1605.89,0,1605.89,Closed
2019,11/3/2020,9/7/2020,24/07/2020,50,0,50,Closed
2019,11/3/2020,9/7/2020,6/8/2020,228,0,228,Closed
2019,28/03/2020,10/7/2020,16/07/2020,182.34,0,182.34,Closed
2019,24/03/2020,17/07/2020,7/12/2020,1875.19,0,1875.19,Closed
2019,23/03/2020,27/07/2020,6/8/2020,311.88,0,311.88,Closed
2019,17/03/2020,27/07/2020,,0,0,0,Closed
2019,17/03/2020,27/07/2020,12/11/2020,310.32,0,310.32,Closed
2019,23/03/2020,27/07/2020,30/07/2020,318.75,0,318.75,Closed
2019,27/07/2020,27/07/2020,28/09/2020,1065.55,0,1065.55,Closed
2019,16/03/2020,28/07/2020,14/01/2021,429.1,0,429.1,Closed
2019,17/03/2020,29/07/2020,5/8/2020,1250,0,1250,Closed
2019,20/03/2020,31/07/2020,11/2/2021,841.34,0,841.34,Closed
2019,16/03/2020,4/8/2020,,0,0,0,Closed
2019,17/03/2020,4/8/2020,10/8/2020,476.68,0,476.68,Closed
2019,25/04/2020,18/08/2020,17/12/2020,3214.85,0,3214.85,Closed
2019,14/09/2020,14/09/2020,18/01/2021,1163.23,0,1163.23,Closed
2019,6/3/2020,30/09/2020,15/10/2020,3578.41,0,3578.41,Closed
2019,14/04/2020,30/09/2020,11/1/2021,1525.23,0,1525.23,Closed
2019,7/10/2020,7/10/2020,2/2/2021,113.59,0,113.59,Closed
2019,7/9/2020,21/10/2020,,0,0,0,Closed
2019,7/9/2020,21/10/2020,20/11/2020,3433.61,0,3433.61,Closed
2019,18/03/2020,22/10/2020,5/11/2020,1412.28,0,1412.28,Closed
2019,1/2/2020,13/01/2021,12/5/2021,4651.54,0,4651.54,Closed
2019,15/03/2020,13/01/2021,7/5/2021,1635.61,0,1635.61,Closed
2019,22/02/2020,13/01/2021,7/5/2021,974,0,974,Closed
2019,20/03/2020,13/01/2021,23/03/2021,944.55,0,944.55,Closed
2019,19/03/2020,1/2/2021,11/2/2021,595.68,0,595.68,Closed
2019,6/3/2020,22/02/2021,5/3/2021,1750,0,1750,Closed
2019,5/3/2020,24/03/2021,30/03/2021,650,0,650,Closed
2019,5/3/2020,24/03/2021,30/03/2021,650,0,650,Closed
2019,27/02/2020,30/03/2021,21/06/2021,3470,0,3470,Closed
2018,12/11/2018,12/11/2018,,0,0,0,Closed
2018,6/11/2018,26/11/2018,28/12/2018,1562,0,1562,Closed
2018,5/11/2018,26/11/2018,27/11/2018,550,0,550,Closed
2018,18/10/2018,11/12/2018,21/12/2018,2574.67,0,2574.67,Closed
2018,14/12/2018,17/12/2018,,0,0,0,Closed
2018,20/12/2018,20/12/2018,22/02/2019,114.03,0,114.03,Closed
2018,7/1/2019,7/1/2019,,0,0,0,Closed
2018,6/12/2018,10/1/2019,17/01/2019,2188.5,0,2188.5,Closed
2018,12/11/2018,11/1/2019,11/4/2019,2405.2,0,2405.2,Closed
2018,10/1/2019,10/1/2019,,0,0,0,Closed
2018,9/1/2019,10/1/2019,22/05/2019,26488.71,0,26488.71,Closed
2018,7/7/2018,10/1/2019,21/01/2019,712.69,0,712.69,Closed
2018,14/12/2018,15/01/2019,21/01/2019,788,0,788,Closed
2018,12/9/2018,15/01/2019,22/01/2019,2968.99,0,2968.99,Closed
2018,21/12/2018,16/01/2019,22/01/2019,988.39,0,988.39,Closed
2018,9/1/2019,23/01/2019,27/02/2019,621.36,0,621.36,Closed
2018,31/07/2018,23/01/2019,29/01/2019,528,0,528,Closed
2018,22/01/2019,24/01/2019,11/4/2019,2466.02,0,2466.02,Closed
2018,22/01/2019,24/01/2019,5/3/2019,147.41,0,147.41,Closed
2018,28/08/2018,25/01/2019,1/2/2019,851,0,851,Closed
2018,24/09/2018,28/01/2019,1/2/2019,65,0,65,Closed
2018,24/01/2019,24/01/2019,,0,0,0,Closed
2018,31/01/2019,31/01/2019,3/9/2019,693.39,0,693.39,Closed
2018,31/01/2019,31/01/2019,19/08/2019,295,0,295,Closed
2018,10/11/2018,31/01/2019,5/4/2019,1881,0,1881,Closed
2018,3/9/2018,2/2/2019,30/04/2019,750.1,0,750.1,Closed
2018,30/01/2019,14/02/2019,12/4/2019,711.93,0,711.93,Closed
2018,23/01/2019,14/02/2019,12/4/2019,119.26,0,119.26,Closed
2018,15/02/2019,15/02/2019,,0,0,0,Closed
2018,27/11/2018,21/02/2019,25/02/2019,750,0,750,Closed
2018,27/12/2018,22/02/2019,20/03/2019,607,0,607,Closed
2018,31/01/2019,28/02/2019,22/04/2019,20.06,0,20.06,Closed
2018,2/2/2019,11/3/2019,2/4/2019,789,0,789,Closed
2018,4/1/2019,15/03/2019,24/04/2019,168.66,0,168.66,Closed
2018,24/02/2019,15/03/2019,19/03/2019,277.82,0,277.82,Closed
2018,28/02/2019,15/03/2019,20/03/2019,1289.1,0,1289.1,Closed
2018,27/01/2019,22/03/2019,1/4/2019,396.8,0,396.8,Closed
2018,4/3/2019,22/03/2019,25/03/2019,768.8,0,768.8,Closed
2018,27/12/2018,27/03/2019,25/04/2019,307.45,0,307.45,Closed
2018,1/3/2019,28/03/2019,1/4/2019,202.43,0,202.43,Closed
2018,30/11/2018,28/03/2019,25/04/2019,491.01,0,491.01,Closed
2018,13/01/2019,31/03/2019,2/4/2019,302.23,0,302.23,Closed
2018,30/03/2019,1/4/2019,12/6/2019,7715.15,0,7715.15,Closed
2018,3/4/2019,4/4/2019,,0,0,0,Closed
2018,30/03/2019,8/4/2019,,0,0,0,Closed
2018,18/03/2019,10/4/2019,12/4/2019,817.14,0,817.14,Closed
2018,24/03/2019,10/4/2019,12/4/2019,221.56,0,221.56,Closed
2018,16/03/2019,24/04/2019,30/04/2019,806.71,0,806.71,Closed
2018,27/03/2019,24/04/2019,6/5/2019,238.86,0,238.86,Closed
2018,20/02/2019,24/04/2019,30/04/2019,48.39,0,48.39,Closed
2018,30/03/2019,3/5/2019,9/5/2019,1183.95,0,1183.95,Closed
2018,21/04/2019,3/5/2019,10/5/2019,704.09,0,704.09,Closed
2018,23/01/2019,3/5/2019,10/5/2019,138.89,0,138.89,Closed
2018,13/04/2019,8/5/2019,,0,0,0,Closed
2018,13/04/2019,8/5/2019,15/05/2019,444.51,0,444.51,Closed
2018,12/4/2019,10/5/2019,16/05/2019,1850,0,1850,Closed
2018,30/11/2018,10/5/2019,17/05/2019,1734.39,0,1734.39,Closed
2018,30/03/2019,13/05/2019,15/05/2019,515.8,0,515.8,Closed
2018,11/3/2019,14/05/2019,3/6/2019,1358.24,0,1358.24,Closed
2018,3/5/2019,20/05/2019,22/05/2019,1992.47,0,1992.47,Closed
2018,10/2/2019,16/05/2019,23/05/2019,100.79,0,100.79,Closed
2018,8/1/2019,17/05/2019,24/05/2019,571.68,0,571.68,Closed
2018,17/05/2019,24/05/2019,18/06/2019,716.3,0,716.3,Closed
2018,4/4/2019,23/05/2019,28/05/2019,354.45,0,354.45,Closed
2018,13/02/2019,30/05/2019,7/6/2019,452.54,0,452.54,Closed
2018,12/1/2019,30/05/2019,7/6/2019,698,0,698,Closed
2018,18/04/2019,30/05/2019,7/6/2019,1296.34,0,1296.34,Closed
2018,29/05/2019,6/6/2019,21/06/2019,420,0,420,Closed
2018,14/05/2019,6/6/2019,18/06/2019,64.23,0,64.23,Closed
2018,11/6/2019,11/6/2019,9/4/2020,19318.68,0,19318.68,Closed
2018,9/3/2019,12/6/2019,17/06/2019,283.98,0,283.98,Closed
2018,26/01/2019,12/6/2019,17/06/2019,1235.44,0,1235.44,Closed
2018,15/06/2019,15/06/2019,1/8/2019,4845.19,0,4845.19,Closed
2018,6/6/2019,19/06/2019,30/07/2019,165.24,0,165.24,Closed
2018,10/4/2019,20/06/2019,15/07/2019,451.61,0,451.61,Closed
2018,23/05/2019,20/06/2019,24/06/2019,872,0,872,Closed
2018,6/4/2019,20/06/2019,24/06/2019,848.9,0,848.9,Closed
2018,25/06/2019,25/06/2019,12/8/2020,914.92,0,914.92,Closed
2018,27/06/2019,27/06/2019,,0,0,0,Closed
2018,29/05/2019,3/7/2019,,0,0,0,Closed
2018,3/7/2019,5/7/2019,10/7/2019,348,0,348,Closed
