"gender","Age_client","year","age_of_car_M","Car_power_M","Car_2ndDriver_M","num_policiesC","metro_code","Policy_PaymentMethodA","Policy_PaymentMethodH","Insuredcapital_content_re","Insuredcapital_continent_re","appartment","Client_Seniority","Retention","NClaims1","NClaims2","Claims1","Claims2","Types","PolID"
0,55,5,14,150,0,0,0,1,1,11.0461020534671,9.5420799988742,1,6.8281998631,1,0,0,0,0,1,6664
0,61,5,15,50,0,1,0,1,1,10.4521073917219,12.0615224829032,1,6.1108829569,1,0,0,0,0,1,23483
1,61,5,1,105,0,0,0,0,0,10.2460664625577,13.2569615757892,0,9.1033538672,1,0,0,0,0,1,25531
1,53,5,11,100,0,1,0,1,1,10.8448907113053,11.6054681825174,0,10.105407255,1,1,0,882,0,2,14678
1,67,5,9,170,0,1,0,1,1,10.817292597649,11.991398130474,0,8.0273785079,1,0,0,0,0,1,9871
0,31,5,12,105,0,1,0,1,1,9.59019361177454,11.3490083820407,1,7.2580424367,1,0,0,0,0,1,35383
1,51,5,9,150,0,1,1,0,1,10.6155514288551,12.1212927768728,0,7.8822724162,1,0,0,0,0,1,31064
1,67,5,0,75,0,1,0,1,1,10.7510839397883,11.6208422106864,1,41.817932923,1,0,0,0,0,1,28063
0,47,5,0,90,0,1,0,1,1,10.7685504615636,10.8863307137727,1,28.55578371,0,0,0,0,0,1,8889
1,57,5,17,65,1,0,0,1,1,10.2985453587291,11.4909225668526,1,19.504449008,1,0,0,0,0,1,7067
1,77,5,9,109,0,1,0,0,1,10.5489328765051,11.2728385572461,1,7.7590691307,1,0,0,0,0,1,8945
1,53,5,16,90,1,0,0,1,1,9.56229499269789,11.6024836793478,1,7.318275154,1,0,0,0,0,1,13316
1,58,5,3,90,0,0,0,1,1,10.3966881642798,11.6006395949711,1,17.697467488,1,0,0,0,0,1,11325
1,42,5,8,110,0,0,0,0,1,9.90353755128617,12.1547846142867,1,6.5708418891,1,0,0,0,0,1,15986
